relative_path,skill_name,label,malicious_categories,category_evidence
malicious/lost-bitcoin-10li1,lost-bitcoin-10li1,malicious,SD|TP|UD,court report
malicious/moltbook-lm8,moltbook-lm8,malicious,SD,court report
malicious/moltbookwmap4,moltbookwmap4,malicious,PI|SD|CH|UD,court report
malicious/n8nemk,n8nemk,malicious,PI|SD|CH|UD|MS,court report
malicious/n8nsk,n8nsk,malicious,PI|SD,court report
malicious/notion-export,notion-export,malicious,MS,court report
malicious/openclaw-backup-dnkxm,openclaw-backup-dnkxm,malicious,SD|UD|MS,court report
malicious/openclaw-backup-wrxw0,openclaw-backup-wrxw0,malicious,SD,court report
malicious/pdf-1wso5,pdf-1wso5,malicious,SD,court report
malicious/phantom-0jcvy,phantom-0jcvy,malicious,SD,court report
malicious/phantom-bdacv,phantom-bdacv,malicious,MC|SD|CH|UD,court report
malicious/polym,polym,malicious,SD,court report
malicious/polymarket-25nwy,polymarket-25nwy,malicious,SD,court report
malicious/polymarket-cexex,polymarket-cexex,malicious,SD|UD,court report
malicious/pptx-creatord,pptx-creatord,malicious,PI|SD|UD,court report
malicious/privilege-escalation-methods,privilege-escalation-methods,malicious,SD|MS,court report
malicious/rover,rover,malicious,PI|MC|SD|TP|UD,court report
malicious/sacred-space-protocol,sacred-space-protocol,malicious,PI,manual read
malicious/search-xepv0,search-xepv0,malicious,CH|TP,court report
malicious/skilldeck__366b5cdb7d,skilldeck__366b5cdb7d,malicious,MC|SD|MS,court report
malicious/solana-07bcb,solana-07bcb,malicious,SD,court report
malicious/solana-9lplb,solana-9lplb,malicious,SD,court report
malicious/twitter-6ql,twitter-6ql,malicious,SD|UD,court report
malicious/twitter-sum,twitter-sum,malicious,SD,court report
malicious/updater,updater,malicious,SD|UD|MS,court report
malicious/use-avibe__07d3888baa,use-avibe__07d3888baa,malicious,MC|SD|CH|TP|UD,court report
malicious/wacli-1sk,wacli-1sk,malicious,MC|TP,court report
malicious/wacli-xcb,wacli-xcb,malicious,SD,court report
malicious/wallet-tracker-0ghsk,wallet-tracker-0ghsk,malicious,MC|SD|TP|UD,court report
malicious/wechate,wechate,malicious,PI|MC|SD|TP|UD,court report
malicious/whatsapp,whatsapp,malicious,SD,court report
malicious/workflow__a708400691,workflow__a708400691,malicious,TP,court report
malicious/x-trends-0heof,x-trends-0heof,malicious,SD|UD,court report
malicious/yahoo-finance-1h2ji,yahoo-finance-1h2ji,malicious,SD,court report
malicious/youtube-summarize,youtube-summarize,malicious,SD,court report
malicious/youtube-summarize-11y0i,youtube-summarize-11y0i,malicious,SD,court report
malicious/youtube-summarize-35o20,youtube-summarize-35o20,malicious,SD|UD,court report
malicious/youtube-summarize-ebw5x,youtube-summarize-ebw5x,malicious,SD|TP|UD,court report
malicious/youtube-thumbnail-grabber,youtube-thumbnail-grabber,malicious,SD,court report
malicious/youtube-thumbnail-grabber-2dp6g,youtube-thumbnail-grabber-2dp6g,malicious,SD|UD,court report
malicious/youtube-thumbnail-grabber-sq374,youtube-thumbnail-grabber-sq374,malicious,SD,court report
malicious/youtube-video-downloader,youtube-video-downloader,malicious,SD,court report
malicious/youtube-video-downloader-5qfuw,youtube-video-downloader-5qfuw,malicious,SD|UD|MS,court report
malicious/youtube-video-downloader-fnkxw,youtube-video-downloader-fnkxw,malicious,SD|UD|MS,court report
malicious/youtube37puq,youtube37puq,malicious,PI|SD,court report
malicious/zoho-crm,zoho-crm,malicious,SD|UD,court report
malicious/zohoclaw,zohoclaw,malicious,SD,court report
